!Expedition polar
4	0	0	47	3.59	60	4.30	110	4.36	141	3.26	180	2.02
6	0	0	45	4.99	60	5.93	110	6.13	143	4.67	180	3.06
8	0	0	43	5.89	60	6.93	110	7.21	146	5.77	180	4.08
10	0	0	41	6.39	60	7.44	110	7.82	150	6.57	180	5.04
12	0	0	40	6.63	60	7.71	110	8.29	155	6.99	180	5.94
14	0	0	39	6.75	60	7.87	110	8.64	165	7.19	180	6.72
16	0	0	38	6.82	60	7.98	110	8.89	168	7.60	180	7.30
20	0	0	38	6.91	60	8.15	110	9.43	170	8.38	180	8.15
25	0	0	39	6.98	60	8.27	110	10.36	168	9.45	180	9.08
30	0	0	41	7.01	60	8.32	110	11.04	157	11.62	180	10.17
