	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180
35	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym
30	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
29	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
28	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
27	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
26	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
25	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
24	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
23	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
22	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
21	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
20	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
19	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
18	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
17	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
16	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
15	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
14	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
13	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
12	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
11	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
10	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
9	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
8	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
7	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
6	Jib	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
5	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
4	Jib	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
2	Jib	Jib	Jib	Jib	Jib	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Jib/Asy	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym	Asym
